,precision,recall,f1-score,support
0,0.7985611510791367,0.8890160183066361,0.8413643746616134,874.0
1,0.8236363636363636,0.6979969183359014,0.755629691409508,649.0
accuracy,0.8076165462902167,0.8076165462902167,0.8076165462902167,0.8076165462902167
macro avg,0.8110987573577502,0.7935064683212687,0.7984970330355607,1523.0
weighted avg,0.8092465174282111,0.8076165462902167,0.8048300283512939,1523.0
